source,instance,COST,TIME,mem_avg,mem_max,mem_lookups
lua,"instances/burma14.tsp
",20315.0,0.267133,0.2854905456686731,0.5390625,3821
luajit,"instances/burma14.tsp
",20315.0,0.01036,0.3326056985294117,0.39453125,170
lua,"instances/dantzig42.tsp
",12528.0,15.016802,1.605078235294458,2.0703125,216041
luajit,"instances/dantzig42.tsp
",12528.0,0.272623,0.9025450928170452,1.01953125,3919
lua,"instances/att48.tsp
",209320.0,22.615311,1.8048326576699605,2.19921875,324943
luajit,"instances/att48.tsp
",209320.0,0.70279,1.1492341694078947,1.3359375,10184
lua,"instances/brg180.tsp
",174750.0,2059.406661,15.123144592915963,19.19140625,26962934
luajit,"instances/brg180.tsp
",174750.0,49.086113,6.570272198169445,8.859375,654146
lua,"instances/gr229.tsp
",10737723.0,6027.846978,20.083216693402257,25.13671875,82342017
luajit,"instances/gr229.tsp
",10737723.0,147.830111,10.782420392234092,15.49609375,2108865
lua,"instances/pr299.tsp
",6556628.0,12274.993742,38.47714629094576,46.265625,180493670
luajit,"instances/pr299.tsp
",6556628.0,359.154439,19.784126565968368,27.7890625,5394286
lua,"instances/si175.tsp
",1808532.0,1926.345977,15.398081028632802,18.8046875,28966069
luajit,"instances/si175.tsp
",1808532.0,46.10204,7.189854423219105,10.41015625,695886
lua,"instances/rat99.tsp
",57986.0,450.155721,5.73323879367508,8.4765625,6798814
luajit,"instances/rat99.tsp
",57986.0,14.312855,3.405490160054625,4.26171875,216020
lua,"instances/pr152.tsp
",5064566.0,1083.759361,10.27206437263778,12.16015625,16321763
luajit,"instances/pr152.tsp
",5064566.0,24.913192,5.071145333909218,6.83203125,377101
